2.0,4.0,1.0,2.0,1224.0,0.01,84.9,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:41:25,31
2.0,2.0,2.0,2.0,1224.0,0.0,84.9,0.0,37.0,30.5,30.0,28.5,30.25,2021-07-08-00:42:24,29
0.0,2.0,2.0,2.0,1224.0,0.0,84.9,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:43:24,27
2.0,3.0,0.0,1.0,1224.0,0.0,84.9,0.0,37.0,30.5,30.0,28.0,30.5,2021-07-08-00:44:23,27
1.0,2.0,1.0,0.0,1224.0,0.03,84.9,0.0,37.5,30.5,30.0,28.0,30.25,2021-07-08-00:45:22,34
3.0,2.0,2.0,1.0,1224.0,0.02,84.9,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:46:22,34
2.0,0.0,0.0,2.0,1351.5,0.03,84.9,0.0,37.5,30.5,30.0,28.0,30.25,2021-07-08-00:47:22,29
3.0,2.9,2.0,2.0,1224.0,0.03,85.0,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:48:22,30
3.0,1.0,1.0,2.0,1224.0,0.02,84.9,0.0,37.0,30.5,30.0,28.0,30.0,2021-07-08-00:49:21,29
2.0,0.0,0.0,1.0,1224.0,0.02,84.9,0.0,37.0,30.0,30.0,28.5,30.25,2021-07-08-00:50:20,29
0.0,2.0,1.0,0.0,1224.0,0.01,84.9,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:51:20,29
1.0,0.0,2.0,2.0,1224.0,0.01,84.9,0.0,36.5,30.5,30.0,28.0,30.25,2021-07-08-00:52:19,26
2.0,1.0,1.0,0.0,1224.0,0.01,84.9,0.0,36.5,30.0,30.0,28.0,30.25,2021-07-08-00:53:19,29
2.0,2.0,1.0,1.0,1224.0,0.0,84.8,0.0,37.0,30.5,30.0,28.5,30.0,2021-07-08-00:54:19,28
2.0,4.0,3.0,3.9,1224.0,0.02,84.8,17.4,37.5,31.0,30.5,28.5,30.25,2021-07-08-00:55:18,35
3.0,1.0,2.0,2.0,1224.0,0.01,84.8,0.0,37.0,30.5,30.0,28.5,30.5,2021-07-08-00:56:18,26
2.0,1.0,1.0,2.0,1224.0,0.0,84.8,0.0,37.0,30.5,30.0,28.5,30.25,2021-07-08-00:57:17,28
1.0,2.0,0.0,0.0,1224.0,0.0,84.8,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-00:58:17,26
2.0,1.0,0.0,2.0,1224.0,0.0,84.8,0.0,36.5,30.5,30.0,28.0,30.25,2021-07-08-00:59:16,28
4.0,0.0,1.0,0.0,1224.0,0.0,84.8,0.0,36.5,30.0,30.0,28.0,30.25,2021-07-08-01:00:16,27
2.0,1.0,2.0,2.0,1224.0,0.0,84.8,0.0,37.0,30.5,30.0,28.0,30.25,2021-07-08-01:01:15,29
1.0,2.0,3.0,1.0,1224.0,0.0,84.8,0.0,36.5,30.5,30.0,27.5,30.5,2021-07-08-01:02:15,28
2.0,2.0,1.0,1.0,1224.0,0.0,84.7,0.0,37.0,30.0,30.0,28.0,30.0,2021-07-08-01:03:15,27
2.9,2.0,1.0,2.0,1224.0,0.0,84.7,0.0,37.0,30.5,30.5,28.0,30.25,2021-07-08-01:04:14,31
3.0,1.0,2.0,1.0,1224.0,0.0,84.7,0.0,37.0,30.5,30.5,27.5,30.25,2021-07-08-01:05:14,32
